J1   degrees/h:
   15.58544    
Year M D h m s  V0+u(deg)     f
2190 1 1 0 0 0  336.017  0.   1.1221
2191 1 1 0 0 0   67.596  0.   1.1489
2192 1 1 0 0 0  159.557  0.   1.1629
2193 1 1 0 0 0  265.711  0.   1.1641
2194 1 1 0 0 0  357.717  0.   1.1525
2195 1 1 0 0 0   89.386  0.   1.1281
2196 1 1 0 0 0  180.465  0.   1.0911
2197 1 1 0 0 0  284.724  0.   1.0427
2198 1 1 0 0 0   13.720  0.   0.9863
2199 1 1 0 0 0  101.180  0.   0.9274
